,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Actinobacteria,15,4,0,11,0,11,17,2,0,24,0,2,15,0,0,6,0,2,12,11,0,54,0,0
Bacteroidetes,228525,118941,178228,39466,161767,136174,208272,137750,204359,55502,137905,121712,221207,115134,175007,50964,132958,156107,196826,170536,188894,55641,158280,134916
Chloroflexi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteria/Chloroplast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deinococcus-Thermus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,35590,38459,17692,31050,28447,19035,40617,29832,13000,34423,17617,17378,52309,25543,14736,39809,20001,15778,47367,41739,16643,44711,23183,17239
Fusobacteria,2,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Lentisphaerae,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,5,1,1,0,0,0
Proteobacteria,31282,14147,20104,13049,79599,22921,26851,19044,23681,19727,26615,12918,23597,12805,16284,11488,56526,11698,16632,11424,15127,9491,66801,23919
Verrucomicrobia,38159,38827,11911,83156,4059,312,37749,25568,26728,73388,18562,2138,55642,29471,24055,60569,16048,10455,45014,13989,15604,68627,19301,941
unknown,18,2,0,0,0,0,13,7,3,0,0,4,17,0,0,0,0,2,0,0,0,0,0,5
