name	M2-D10-1A	M2-D10-1B	M2-D10-2A	M2-D10-2B	M2-D10-3A	M2-D10-3B	M2-D8-1A	M2-D8-1B	M2-D8-2A	M2-D8-2B	M2-D8-3A	M2-D8-3B	M2-D9-1A	M2-D9-1B	M2-D9-2A	M2-D9-2B	M2-D9-3A	M2-D9-3B
OTU_1	638	619	620	586	649	709	3031	2720	3634	3361	3320	3923	190	190	234	159	214	140
OTU_2	19325	17614	18985	16567	20190	21808	14710	13892	17446	17137	18111	19873	23309	21031	27583	21240	26549	22373
OTU_3	6477	11869	14770	13379	10936	13469	9872	12898	14950	13720	14355	17185	13421	11304	19043	15768	18249	12639
OTU_4	4246	3742	4686	3811	4284	4457	1879	1749	1721	2131	2124	2348	3323	2908	3830	3097	3626	3340
OTU_5	5865	5860	3957	4587	6111	7670	6503	5473	5636	6891	6745	6584	6646	7456	11065	6113	9787	5762
OTU_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
OTU_7	1548	1492	1548	1426	1587	1668	1058	959	1314	1131	1238	1368	1676	1445	1923	1423	1805	1589
OTU_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_9	948	801	877	768	898	1036	399	345	450	464	491	512	659	612	827	585	726	633
OTU_10	8155	8653	8704	7669	9461	9506	5531	5742	7044	7013	6815	8377	6903	5595	8161	6103	7662	6128
OTU_11	189	708	3038	2253	161	220	51	46	77	104	20	44	27	19	18	56	46	48
OTU_12	828	795	936	595	761	875	827	779	826	652	826	980	761	628	1133	639	677	588
OTU_13	329	277	322	264	314	374	179	155	215	237	198	276	252	271	324	272	336	214
OTU_14	2016	2024	2590	2900	2191	3561	3120	3401	3854	4276	3479	4873	2854	2099	3531	2008	3870	1951
OTU_15	1344	1306	1421	1377	1463	1614	679	620	697	741	704	806	1134	1062	1450	1134	1227	1168
