Model,Consortium,Mean-Predictive,STD-Predictive
cLV,Healthy,0.1908705029592047,0.3548373374195879
LRA,Healthy,0.222454191690334,0.3871229229894827
gLV,Healthy,0.1506894144296612,0.3820607160111581
gLV-RA,Healthy,0.08377386452049257,0.3957284811747501
cLV,Healthy,0.12610964566713692,0.3340894945845515
LRA,Healthy,0.2009976282223592,0.379936512019514
gLV,Healthy,0.17522682706716794,0.32523508441812776
gLV-RA,Healthy,0.10361099612959657,0.3542420794986373
cLV,Healthy,0.1375094147969189,0.3885387984773457
LRA,Healthy,0.10787780040121814,0.30791651026379746
gLV,Healthy,0.2159940457478896,0.3880677999398329
gLV-RA,Healthy,0.12973549666178966,0.3713988610297251
cLV,Healthy,0.12727540964980505,0.35085458275457176
LRA,Healthy,0.2016399189477684,0.3602213376449539
gLV,Healthy,0.17291398370945785,0.36701152575383655
gLV-RA,Healthy,0.09995995672479284,0.3707536475559806
cLV,Ulcerative Colitis,0.07693462066033671,0.36466091425523145
LRA,Ulcerative Colitis,0.018433546598989527,0.39426849775687395
gLV,Ulcerative Colitis,0.3041695715438561,0.3395405082378726
gLV-RA,Ulcerative Colitis,0.20898328093616064,0.37297764654494175
cLV,Ulcerative Colitis,0.19996838912235404,0.3484143213874608
LRA,Ulcerative Colitis,0.04871144031397835,0.4464852613030715
gLV,Ulcerative Colitis,0.19561540796815824,0.37098469523968175
gLV-RA,Ulcerative Colitis,0.08758503329906851,0.3775673369225946
cLV,Ulcerative Colitis,0.17781853928981814,0.3670084879861482
LRA,Ulcerative Colitis,0.07658311658398638,0.4292568979765085
gLV,Ulcerative Colitis,0.17030503968381613,0.4029849357682517
gLV-RA,Ulcerative Colitis,0.17209033991255504,0.3953907552686171
cLV,Ulcerative Colitis,0.0427362357499193,0.3542772256534901
LRA,Ulcerative Colitis,0.018426001041091725,0.39070469500635335
gLV,Ulcerative Colitis,0.18141898046869429,0.3670558264005628
gLV-RA,Ulcerative Colitis,0.15299391490934347,0.3811459810982215
cLV,Ulcerative Colitis,-0.05409208603679603,0.3547064057353487
LRA,Ulcerative Colitis,0.055316516694842506,0.4182587287844165
gLV,Ulcerative Colitis,0.2593807013937127,0.35430349942312234
gLV-RA,Ulcerative Colitis,0.2541073395112832,0.3544793878710561
MDSINE2,Ulcerative Colitis,0.2208473273055297,0.15528704714555588
MDSINE2,Ulcerative Colitis,0.27554524869284586,0.20527170763306365
MDSINE2,Ulcerative Colitis,0.2581888286362729,0.2178248711006006
MDSINE2,Ulcerative Colitis,0.2961364503146537,0.1838826146223663
MDSINE2,Ulcerative Colitis,0.30124313506351635,0.1710612998683143
MDSINE2,Healthy,0.2650865725928906,0.17815195148653276
MDSINE2,Healthy,0.2309920961911366,0.16254758472633374
MDSINE2,Healthy,0.2680963717773019,0.17771172081523226
MDSINE2,Healthy,0.2520405380557629,0.1841974241341618
